# 8822E regulatory TX-power limit (array_mp_8822e_txpwr_lmt, all regions)
# fields: reg band bw rs ntx ch val  (reg: FCC=0 ETSI=1 MKK=2 WW13=3 IC=4 KCC=5 ACMA=6 CHILE=7 UKRAINE=8 MEXICO=9 CN=10 QATAR=11 UK=12; band 2.4G=0 5G=1; bw 20/40/80/160=0..3; rs CCK/OFDM/HT/VHT=0..3; ntx 1T/2T=0/1; val=power-index limit)
6 0 0 2 1 8 36
7 0 0 2 1 8 68
8 0 0 2 1 8 36
9 0 0 2 1 8 68
10 0 0 2 1 8 36
0 0 0 2 1 9 64
1 0 0 2 1 9 36
2 0 0 2 1 9 66
4 0 0 2 1 9 64
5 0 0 2 1 9 70
6 0 0 2 1 9 36
7 0 0 2 1 9 64
8 0 0 2 1 9 36
9 0 0 2 1 9 64
10 0 0 2 1 9 36
0 0 0 2 1 10 60
1 0 0 2 1 10 36
2 0 0 2 1 10 66
4 0 0 2 1 10 60
5 0 0 2 1 10 70
6 0 0 2 1 10 36
7 0 0 2 1 10 60
8 0 0 2 1 10 36
9 0 0 2 1 10 60
10 0 0 2 1 10 36
0 0 0 2 1 11 52
1 0 0 2 1 11 36
2 0 0 2 1 11 66
4 0 0 2 1 11 52
5 0 0 2 1 11 70
6 0 0 2 1 11 36
7 0 0 2 1 11 52
8 0 0 2 1 11 36
9 0 0 2 1 11 52
10 0 0 2 1 11 36
0 0 0 2 1 12 40
1 0 0 2 1 12 36
2 0 0 2 1 12 66
4 0 0 2 1 12 40
5 0 0 2 1 12 70
6 0 0 2 1 12 36
7 0 0 2 1 12 40
8 0 0 2 1 12 36
9 0 0 2 1 12 40
10 0 0 2 1 12 36
0 0 0 2 1 13 28
1 0 0 2 1 13 36
2 0 0 2 1 13 66
4 0 0 2 1 13 28
5 0 0 2 1 13 62
6 0 0 2 1 13 36
7 0 0 2 1 13 28
8 0 0 2 1 13 36
9 0 0 2 1 13 28
10 0 0 2 1 13 28
0 0 0 2 1 14 127
1 0 0 2 1 14 127
2 0 0 2 1 14 127
4 0 0 2 1 14 127
5 0 0 2 1 14 127
6 0 0 2 1 14 127
7 0 0 2 1 14 127
8 0 0 2 1 14 127
9 0 0 2 1 14 127
10 0 0 2 1 14 127
0 0 1 2 0 1 127
1 0 1 2 0 1 127
2 0 1 2 0 1 127
4 0 1 2 0 1 127
5 0 1 2 0 1 127
6 0 1 2 0 1 127
7 0 1 2 0 1 127
8 0 1 2 0 1 127
9 0 1 2 0 1 127
10 0 1 2 0 1 127
0 0 1 2 0 2 127
1 0 1 2 0 2 127
2 0 1 2 0 2 127
4 0 1 2 0 2 127
5 0 1 2 0 2 127
6 0 1 2 0 2 127
7 0 1 2 0 2 127
8 0 1 2 0 2 127
9 0 1 2 0 2 127
10 0 1 2 0 2 127
0 0 1 2 0 3 52
1 0 1 2 0 3 60
2 0 1 2 0 3 72
4 0 1 2 0 3 52
5 0 1 2 0 3 72
6 0 1 2 0 3 60
7 0 1 2 0 3 52
8 0 1 2 0 3 60
9 0 1 2 0 3 52
10 0 1 2 0 3 60
0 0 1 2 0 4 52
1 0 1 2 0 4 60
2 0 1 2 0 4 72
4 0 1 2 0 4 52
5 0 1 2 0 4 72
6 0 1 2 0 4 60
7 0 1 2 0 4 52
8 0 1 2 0 4 60
9 0 1 2 0 4 52
10 0 1 2 0 4 60
0 0 1 2 0 5 60
1 0 1 2 0 5 60
2 0 1 2 0 5 72
4 0 1 2 0 5 60
5 0 1 2 0 5 72
6 0 1 2 0 5 60
7 0 1 2 0 5 60
8 0 1 2 0 5 60
9 0 1 2 0 5 60
10 0 1 2 0 5 60
